ID,name,location,type,adname,address,X,Y
0,汕头矢崎万吉分工厂,"116.710536,23.431072",公司企业;工厂;工厂,龙湖区,泰山北路76号ab万吉工业区,116.710536,23.431072
1,金辉家具厂,"116.778603,23.435458",购物服务;家居建材市场;家具城|公司企业;工厂;工厂,龙湖区,仁和里村附近,116.778603,23.435458
2,现心制衣厂(汕头办事处),"116.732002,23.370303",公司企业;工厂;工厂,龙湖区,衡山路18号锦华昌大厦6层,116.732002,23.370303
3,正盛食品厂,"116.747151,23.437111",公司企业;工厂;工厂,龙湖区,外砂街道迎宾北路启阳运输有限公司东南,116.747151,23.437111
4,威力门窗,"116.729240,23.386608",公司企业;工厂;工厂,龙湖区,龙祥街道衡山东二街2号,116.72924,23.386608
5,吉昌玩具设备厂,"116.764995,23.404911",公司企业;工厂;工厂,龙湖区,新溪金源工业区,116.764995,23.404911
6,佳兴拉链厂,"116.756519,23.444292",购物服务;专卖店;专营店|公司企业;工厂;工厂,龙湖区,外砂街道内陇林厝大道锦骏虹璟湾东50米,116.756519,23.444292
7,华祥楼梯厂,"116.735911,23.400649",公司企业;工厂;工厂,龙湖区,广东省汕头市龙湖区新锋南街北150米,116.735911,23.400649
8,佑强制衣,"116.724635,23.385091",公司企业;工厂;工厂,龙湖区,衡山中街2号,116.724635,23.385091
9,贺派眼镜黄山工厂店,"116.747426,23.374152",公司企业;工厂;工厂,龙湖区,黄山路65号诚融大厦6楼,116.747426,23.374152
10,广原石材,"116.721781,23.404513",公司企业;工厂;工厂,龙湖区,盛业四街汕头市下蓬中学东南侧约150米,116.721781,23.404513
11,汕头晶鸥门窗,"116.730765,23.404604",公司企业;工厂;工厂,龙湖区,汕樟路与嵩山路交界处金海鸥酒店斜对面南方工业园,116.730765,23.404604
12,尚道门窗,"116.758478,23.382546",公司企业;工厂;工厂,龙湖区,珠津北路与玉津南路交叉口西南80米,116.758478,23.382546
13,明质装饰门窗加工厂,"116.758152,23.390951",公司企业;工厂;工厂,龙湖区,辛厝寮将军爷宫斜对面,116.758152,23.390951
14,东升古典家具厂,"116.759065,23.367389",公司企业;工厂;工厂,龙湖区,珠池街道金砂东路永乐福购物北200米,116.759065,23.367389
15,新合升石业,"116.718038,23.429050",公司企业;工厂;工厂,龙湖区,泰山北路与万吉北东街交汇处,116.718038,23.42905
16,荣兴石业,"116.752351,23.387282",公司企业;工厂;工厂|公司企业;公司;公司,龙湖区,泰山路珠津工业区新津路3号,116.752351,23.387282
17,洋森石材(新厂),"116.728759,23.423470",公司企业;工厂;工厂,龙湖区,415乡道与流美大街交叉口东南540米,116.728759,23.42347
18,荣发毛衫,"116.748029,23.436696",公司企业;工厂;工厂|公司企业;公司;公司,龙湖区,蓬发路附近,116.748029,23.436696
19,汕头亮点烫钻厂,"116.742751,23.389357",公司企业;工厂;工厂,龙湖区,陈厝合泰合街东新二巷7号(一家人住宿旁),116.742751,23.389357
20,艺颖毛衫,"116.722873,23.457141",公司企业;工厂;工厂,龙湖区,龙华街道大衙兴业2小区7号,116.722873,23.457141
21,斯捷时装毛织厂,"116.752875,23.441997",公司企业;工厂;工厂,龙湖区,外砂蓬发大道,116.752875,23.441997
22,汕头市宇光电脑服饰厂,"116.740935,23.425698",公司企业;工厂;工厂,龙湖区,062县道与324国道交叉口北100米,116.740935,23.425698
23,穗星工艺厂,"116.748849,23.428169",公司企业;工厂;工厂,龙湖区,龙凤路硕仕宜幼儿园东南侧约160米,116.748849,23.428169
24,和美五金厂,"116.745760,23.438369",公司企业;工厂;工厂,龙湖区,外砂街道迎宾北路金霖后整厂路口,116.74576,23.438369
25,德裕织造厂,"116.785468,23.386853",公司企业;工厂;工厂|公司企业;公司;公司,龙湖区,金新路附近,116.785468,23.386853
26,恒锋机械,"116.732388,23.406495",公司企业;工厂;工厂,龙湖区,泰山中路(中国五矿对面),116.732388,23.406495
27,业辉印刷厂,"116.710044,23.382327",公司企业;工厂;工厂,龙湖区,凤凰山路泰华工业区F3幢西侧202之一,116.710044,23.382327
28,玉蕾厂区,"116.725245,23.447939",公司企业;工厂;工厂,龙湖区,,116.725245,23.447939
29,长荣制衣厂,"116.715805,23.374394",公司企业;工厂;工厂,龙湖区,长江路四季树酒楼B一栋四楼,116.715805,23.374394
30,新尚雅,"116.734083,23.374105",公司企业;工厂;工厂,龙湖区,珠池路龙翔工业大厦二楼,116.734083,23.374105
31,广荣钟表有限公司,"116.721023,23.377129",公司企业;工厂;工厂,龙湖区,金霞街道H14栋3楼,116.721023,23.377129
32,尝香食品厂,"116.791108,23.385345",公司企业;工厂;工厂,龙湖区,东升公塭林园3巷1号,116.791108,23.385345
33,恒升工艺手袋厂,"116.791404,23.396269",公司企业;工厂;工厂,龙湖区,金鸿公路北(东南阳光幼儿园东北),116.791404,23.396269
34,汇克毛衫厂,"116.751626,23.445289",公司企业;工厂;工厂,龙湖区,青年路东200米,116.751626,23.445289
35,新思琪毛衣织造厂,"116.769479,23.437623",公司企业;工厂;工厂,龙湖区,G15沈海高速附近,116.769479,23.437623
36,元润电子厂,"116.764292,23.360952",公司企业;工厂;工厂,龙湖区,珠池街道长平路永安大楼3楼,116.764292,23.360952
37,汕头市薄荣玩具有限公司,"116.751460,23.446174",公司企业;工厂;工厂,龙湖区,外砂街道内陇工业区仙洲路3横2号7楼,116.75146,23.446174
38,金南晖纸品厂,"116.730644,23.404264",公司企业;工厂;工厂,龙湖区,龙祥街道汕汾路汕汾加油站后华泰工业园内,116.730644,23.404264
39,新尚雅绣品,"116.714665,23.375895",公司企业;工厂;工厂,龙湖区,练江南路1号恒晖大厦东梯三楼(新尚雅绣品),116.714665,23.375895
40,元霸电子厂,"116.732779,23.387936",公司企业;工厂;工厂,龙湖区,龙祥街道龙新西一街3号,116.732779,23.387936
41,联纳电子厂,"116.732774,23.387990",公司企业;工厂;工厂,龙湖区,夏桂埔龙新西一街3号b1幢4楼,116.732774,23.38799
42,统滋食品潮汕工厂,"116.717428,23.378677",公司企业;工厂;工厂,龙湖区,龙湖第二工业区F2幢,116.717428,23.378677
43,东之林电脑绣花厂,"116.716899,23.375867",公司企业;工厂;工厂,龙湖区,金霞街道练江南路e2栋,116.716899,23.375867
44,高立文具厂,"116.760045,23.361789",公司企业;工厂;工厂,龙湖区,内充公南片工业区,116.760045,23.361789
45,思尼尔制衣厂,"116.721245,23.377330",公司企业;工厂;工厂,龙湖区,龙湖工业区H14幢2楼,116.721245,23.37733
46,顺达机械厂,"116.739551,23.424143",公司企业;工厂;工厂,龙湖区,龙华街道华埠工业区,116.739551,23.424143
47,英辉毛衣厂,"116.737639,23.367941",公司企业;工厂;工厂,龙湖区,外砂镇凤美工业区兴业大厦5楼,116.737639,23.367941
48,万力佳制衣厂,"116.717700,23.378497",公司企业;工厂;工厂,龙湖区,金霞街道龙湖工业区F2栋南座5楼,116.7177,23.378497
49,联斯绣制衣厂,"116.741584,23.443181",公司企业;工厂;工厂,龙湖区,凤窖村新沟北工业区1号之2,116.741584,23.443181
50,汕头华科达电子厂,"116.737839,23.370166",公司企业;工厂;工厂,龙湖区,嵩山南路与锦龙路交叉口西北20米,116.737839,23.370166
51,云舞制衣厂,"116.732869,23.389772",公司企业;工厂;工厂,龙湖区,浦江路与龙新西二街交叉口西南60米,116.732869,23.389772
52,名盛厂房,"116.714427,23.405540",公司企业;工厂;工厂,龙湖区,汕樟路298号,116.714427,23.40554
53,四汇电子厂,"116.723030,23.403181",公司企业;工厂;工厂,龙湖区,嵩山北路162号金福彩印3层,116.72303,23.403181
54,凤羽包装厂,"116.720812,23.403735",公司企业;工厂;工厂,龙湖区,盛业街26号3楼(虹桥机械对面),116.720812,23.403735
55,嘉业线材厂,"116.735067,23.391582",公司企业;工厂;工厂,龙湖区,桂欣路35号厂房二楼,116.735067,23.391582
56,展源酿酒厂,"116.711638,23.418375",公司企业;工厂;工厂,龙湖区,兴安路与万吉南二街交叉路口西北侧,116.711638,23.418375
57,新豪迪玩具厂,"116.771450,23.400372",公司企业;工厂;工厂,龙湖区,荣兴中路北十四巷与三头路交叉路口南侧,116.77145,23.400372
58,依佳利毛织厂,"116.720921,23.460148",公司企业;工厂;工厂,龙湖区,青年路汕头市龙湖区外砂镇大衙村幼儿园西北侧约50米,116.720921,23.460148
59,常顺服装厂,"116.739154,23.395811",公司企业;工厂;工厂,龙湖区,周厝塭新联南街(西宁路)交界处,116.739154,23.395811
60,梵甲玩具厂,"116.744944,23.386394",公司企业;工厂;工厂,龙湖区,陈厝合安和街佳和十六巷11号,116.744944,23.386394
61,老莫电子厂,"116.744909,23.390490",公司企业;工厂;工厂,龙湖区,陈厝合泰和街东新12巷6号,116.744909,23.39049
